ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y,link fuente,,,,,,,
71,aa7090ab-5d10-4f53-8286-9ce092fd0b09,914,De_Campo,7-Dec-21,Cerro_Largo,sgsp,,5/30/2022 19:22,sinae_covid_19,5/30/2022 19:22,sinae_covid_19,-54.02620878,-32.38955713,,,,,,,,
72,87f7811e-91dc-4bd7-8b68-da8be92b9054,926,De_Campo,22-Dec-21,Cerro_Largo,sgsp,,5/30/2022 19:28,sinae_covid_19,6/15/2022 17:12,sinae_covid_19,-54.16306422,-32.39295328,,,,,,,,
109,183fd81a-38f7-4de6-b185-98ec6dbedeff,1045,De_Campo,3-Jun-22,Cerro_Largo,sgsp,,6/28/2022 18:01,sinae_covid_19,6/28/2022 18:01,sinae_covid_19,-54.83353539,-32.30489949,,,,,,,,
12,367f3168-d50f-41a6-87d9-1d0591457086,866,De_Campo,14-Jan-22,Colonia,cecoed,,5/25/2022 13:04,sinae_covid_19,5/25/2022 13:04,sinae_covid_19,-57.28585949,-34.35051615,,,,,,,,
33,73d19a35-090d-4bfe-b4b4-31d6ede0e45d,953,De_Campo,6-Jan-22,Colonia,sgsp,,5/25/2022 16:47,sinae_covid_19,5/25/2022 16:47,sinae_covid_19,-58.32066667,-33.87674236,,,,,,,,
8,bf82604a-a4e8-41c8-b3cb-2780f7f6e879,974,De_Campo,14-Jan-22,Colonia,sgsp,,5/24/2022 20:09,sinae_covid_19,5/24/2022 20:38,sinae_covid_19,-56.13824675,-34.8985995,,,,,,,,
2,56fab073-21cd-4993-8b4b-509805e6743e,1006,De_Campo,13-Apr-22,Colonia,sgsp,,5/24/2022 18:42,sinae_covid_19,6/15/2022 17:21,sinae_covid_19,-57.75383949,-34.43606233,,,,,,,,
28,b443f164-af5c-433f-9f28-f6aca8bd84a7,958,De_Campo,8-Jan-22,Durazno,sgsp,,5/25/2022 16:06,sinae_covid_19,5/25/2022 16:06,sinae_covid_19,-56.4731452,-32.92784829,,,,,,,,
9,c521341c-4dc9-4e1d-8af9-379d03dc5293,968,De_Campo,14-Jan-22,Durazno,sgsp,,5/25/2022 12:42,sinae_covid_19,5/25/2022 12:42,sinae_covid_19,-56.51000392,-33.40228802,,,,,,,,
39,72c80c53-69ee-464a-b0a0-99b22a6f7143,948,De_Campo,2-Jan-22,Flores,cecoed,,5/25/2022 17:27,sinae_covid_19,5/25/2022 17:27,sinae_covid_19,-57.02022009,-33.42130716,,,,,,,,
76,f6ac7af4-d516-4b4e-a645-2563b6ef406b,943,De_Campo,1-Jan-22,Flores,sgsp,,5/30/2022 20:01,sinae_covid_19,5/30/2022 20:01,sinae_covid_19,-57.02901556,-33.41194111,,,,,,,,
40,de977d1f-b17b-4a09-9535-659d0e253dd8,946,De_Campo,2-Jan-22,Flores,sgsp,,5/25/2022 17:30,sinae_covid_19,5/25/2022 17:30,sinae_covid_19,-57.09566738,-33.22139084,,,,,,,,
21,dbc5f05e-a824-4b04-b036-19d6bd8c9c8c,962,De_Campo,11-Jan-22,Flores,sgsp,,5/25/2022 14:36,sinae_covid_19,5/25/2022 14:36,sinae_covid_19,-57.04849897,-33.64576006,,,,,,,,
